name;beschreibung;lang1;lang2;lang3;lang4;lang5;lang6;lang7;lang8;lang9;lang10;lang11;lang12;id
buyNow;;Jetzt kaufen;Buy now;;;;;;;;;;;1
seeInterfaceNoActiv;;abgelaufene Schnittstellen;;;;;;;;;;;;2
close;;schließen;close;;;;;;;;;;;3
noTemplateText;;Es ist kein Template (Vorlage) vorhanden, welches Sie bearbeiten können.<br />Importieren bzw. konvertieren Sie zuerst eine CSV-Datei und speichern Sie die Einstellungen als Vorlage.;There is no template available, which you can edit.<br />First import or convert a CSV file and save the settings as template.;;;;;;;;;;;4
logout;;Abmelden;logout;;;;;;;;;;;5
login;;Login;login;;;;;;;;;;;6
show;;einblenden;show;;;;;;;;;;;7
hide;;ausblenden;hide;;;;;;;;;;;8
noPayment;;Sie haben keine Zahlungsmethode ausgewählt!;Maybe you just misspelled? Please, try again.;;;;;;;;;;;9
falsePass;;Die angegebenen Passwörter stimmen nicht überein.;false password;;;;;;;;;;;10
intCat;;Interne Kategorien;intern categories;;;;;;;;;;;11
openFrameTxtErrorHeadline;;Die Datei kann nicht erstellt werden;update error;;;;;;;;;;;12
openFrameTxtError;;<b>Gründe hier für könnten sein:</b><br />%BREAK%» Kategorien ohne Artikel ausgewählt<br />%BREAK%» es wurden keine passenden Artikel gefunden<br /><br />%BREAK%Bitte überprüfen Sie Ihre Einstellungen.;error;;;;;;;;;;;13
MoneyXferAcceptedInCheckout;;Bankverbindung anzeigen;view bank;;;;;;;;;;;14
showAll;;alles einblenden;show all;;;;;;;;;;;15
hideAll;;alles ausblenden;hide all;;;;;;;;;;;16
MoneyXferAccepted;;Überweisung;bank transfer;;;;;;;;;;;17
directLink;;Direkt-Link;Direct-Link;;;;;;;;;;;18
allArticle;;alle Produkte;all products;;;;;;;;;;;19
mailConfirm;;Bestätigungsmail;Mail confirmation;;;;;;;;;;;20
kHead4;;FTP-Zugangsdaten Dateien (Cronjob);FTP access data for files (cronjob);;;;;;;;;;;21
yesXL;;Hintergrund weiß;Background white;;;;;;;;;;;22
imgXL;;XL-Bilder;xl-images;;;;;;;;;;;23
lastLoginFile;;Login/Down;last login;;;;;;;;;;;24
noXL;;Hintergrund dekoriert;Background decorated;;;;;;;;;;;25
shippingTxt;;Versandtext;shipping text;;;;;;;;;;;26
fPic;;F-Bild;F-Pic;;;;;;;;;;;27
ownCatSearchTxt;;Suchbegriffe auswählen;set search terms classification;;;;;;;;;;;28
newCatSearchTxt;;Suchbegriffe NEU anlegen;create a search terms classification;;;;;;;;;;;29
searchTerms;;Suchbegriffe;search terms;;;;;;;;;;;30
nationalInsuranceFee;;Nat. Versicherungsbetrag (0,00);NationalInsuranceFee;;;;;;;;;;;31
nationalInsuranceOption;;Nationale Versicherung;NationalInsuranceOption;;;;;;;;;;;32
exportCurrency;;in Datei;in file;;;;;;;;;;;33
piece;;Stück;piece(s);;;;;;;;;;;34
search;;Suche;search;;;;;;;;;;;35
declaration;;Erklärung;declaration;;;;;;;;;;;36
abroad;;Ausland;abroad;;;;;;;;;;;37
pays;;zahlt;pays;;;;;;;;;;;38
firmaNamen;;Firma & Namen;Company & Names;;;;;;;;;;;501
uniFileHead2;;Universaldateien zum Download (bis Ende 2009);universal files for downloading (2009);;;;;;;;;;;40
more;;mehr;more;;;;;;;;;;;41
openLinkTxtUni;;<h3>Direkt-Link</h3>Diese Linkadresse können Sie kopieren und für externe Anwendungen verwenden. So haben Sie oder von Ihnen erstellte Programme jederzeit Zugriff auf die Universal-CSV-Dateien. Sie müssen sich also nicht unbedingt in unser System einloggen, um diese Dateien abzurufen.;<h3>Direct-Link</h3>You can copy this link and use it in 3rd party applications. That way you or your applications have direct access to the csy-files. In this case, a manual Log-In is not neccessary anymore.;;;;;;;;;;;42
closeWindow;;Fenster schliessen;close window;;;;;;;;;;;43
openLinkTxt;;Diese Linkadresse können Sie kopieren und für externe Anwendungen verwenden. So haben Sie oder von Ihnen erstellte Programme jederzeit Zugriff auf Ihre individuellen CSV-Dateien. Sie müssen sich also nicht unbedingt in unser System einloggen, um Ihre Dateien abzurufen.<br /><span class="txtRed">Voraussetzung ist die automatische Aktualisierung dieser Datei per Cronjob.</span>;You can copy this link and use it in 3rd party applications. That way you or your applications have direct access to the csy-files. In this case, a manual Log-In is not neccessary anymore.;;;;;;;;;;;44
lang;;Sprache;language;;;;;;;;;;;45
openFrameTxtSave;;Alternativ können Sie Ihre Datei über den Speicher-Button runterladen.;file is ready;;;;;;;;;;;46
openFrameTxtSaveHeadline;;Die Datei wurde erstellt und wird automatisch zum Download angeboten.;file is ready;;;;;;;;;;;47
openFrameTxt;;Dieser Vorgang kann je nach Anzahl und Auswahl der Daten bis zu 5 Minuten dauern.<br />Das Fenster sollte während des Downloads nicht geschlossen werden.;update file;;;;;;;;;;;48
titleInCapitalLetters ;;Name in Großbuchstaben;Title in capital letters ;;;;;;;;;;;49
formatting;;Formatierung;Formatting;;;;;;;;;;;50
